Variable Name,Variable Label,Description,Category,Type,Unit,Values/Value Range,Value Labels,Notes
ENDREST,Reopen restaurants,"The date when states reopened restaurants (for indoor and/or outdoor dining) statewide. If states never closed restaurants, they will be marked as 0.",reopening,end,date,0: policy not implemented;,,
RSTOUTDR,Initially reopen restaurants for outdoor dining only,Whether restaurants could initially reopen only for outdoor dining as part of the phased reopening process.  Did not include guidance or recommendations. Order must apply to entire state,reopening,attribute,flag,"1,0","1=""YES"",0=""NO""",
CLGYM,Closed gyms,The date states closed indoor gyms/fitness centers.  Did not include guidance or recommendations. Order must apply to entire state,physical_distance_closures,start,date,0: policy not implemented;,,
ENDGYM,Reopened gyms,The date states reopened indoor gyms/fitness centers statewide.If states never closed gyms they will be marked as 0,reopening,end,date,0: policy not implemented;,,
CLMOVIE,Closed movie theaters,The date states closed movie theaters.  Did not include guidance or recommendations. Order must apply to entire state,physical_distance_closures,start,date,0: policy not implemented;,,
END_MOV,Reopened movie theaters,The date states reopened movie theaters statewide. If states never closed movie theaters they will be marked as 0.,reopening,end,date,0: policy not implemented;,,
CLOSEBAR,Closed Bars,"The date states closed bars statewide. Unless otherwise noted, bars are defined as establishments that derive more than 50 percent of gross revenue from the sales of alcoholic beverages.  Did not include guidance or recommendations. Order must apply to entire state",physical_distance_closures,start,date,0: policy not implemented;,,
CASCLOSE,State Casino Closure,If a state issued orders to close casinos throughout the state. Must be an order and not a suggestion or guidance. Order must apply to the entire state excepting soverign territories.,physical_distance_closures,start,date,0: policy not implemented;,,
CASTRIBCAS,Mentions Tribal Casinos,If a state order included mention of the existance of tribal casinos or mention of collaboration with the tribes.,physical_distance_closures,attribute,flag,"1,0","1=""YES"",0=""NO""",
END_BRS,Reopen bars,"The date states reopen bars statewide. Unless otherwise noted, bars are defined as establishments that derive more than 50 percent of gross revenue from the sales of alcoholic beverages. If states never closed bars they will be marked as 0",reopening,end,date,0: policy not implemented;,,
END_HAIR,Reopened hair salons/barber shops,"The date states reopened hair salons barber shops statewide. If states never closed hair salons/barber shops, they will be marked as 0",reopening,end,date,0: policy not implemented;,,
END_RELG,Reopen Religious Gatherings,"The date states reopened religious gatherings statewide. If states never closed religious gatherings, they will be marked as 0",reopening,end,date,0: policy not implemented;,,
ENDRETL,Reopen other non-essential retail,"The date states reopened non essential retail statewide. If states never stopped non-essential retail, they will be marked as 0",reopening,end,date,0: policy not implemented;,,NE- never closed non-essential retail
CASOPEN,State Casino Re-Opening,If a state issued orders to re-open casinos throughout the state. Must be an order and not a suggestion or guidance. Order must apply to the entire state.,reopening,end,date,0: policy not implemented;,,
CURFEWEND,Allowed businesses to reopen overnight,"For states that had implemented restrictions to the hours that businesses may operate overnight, the date a state allowed businesses to return to operations at all hours of the night",reopening,end,date,0: policy not implemented;,,
BCLBAR2,Begin to Re-Close Bars,"The first date a state reclosed bars after an initial reopening. The closure can be restricted to a city or county, but must be mandated by the governor or state-level agency.  Did not include guidance or recommendations. If a state never reopened bars they will be marked as 0.",second_closures,start,date,0: policy not implemented;,,Refers to the first state mandated action to reclose bars
CLBAR2,Re-Close Bars (statewide),The date a state reclosed bars statewide after an initial opening.  Did not include guidance or recommendations. If a state never reopened bars they will be marked as 0.,second_closures,start,date,0: policy not implemented;,,Refers to when states have closed bars statewide after an initial reopening
CLMV2,Re-Close Movie Theaters (statewide),The date a state reclosed movie theaters statewide after an initial opening.  Did not include guidance or recommendations. If a state never reopened movie theaters they will be marked as 0.,second_closures,start,date,0: policy not implemented;,,Refers to when states have closed movie theaters statewide after an initial reopening
CLGYM2,Re-Close Gyms (statewide),The date a state reclosed indoor  gyms/fitness centers statewide after an initial opening.  Did not include guidance or recommendations. If a state never reopened indoor  gyms/fitness they will be marked as 0.,second_closures,start,date,0: policy not implemented;,,Refers to when states have closed gyms statewide after an initial reopening
CLRST2,Re-Close Indoor Dining (Statewide),The date a state reclosed indoor dining statewide after an initial opening.  Did not include guidance or recommendations. If a state never reopened indoor dining they will be marked as 0.,second_closures,start,date,0: policy not implemented;,,
CLHAIR2,Re-close hair salons and barber shops (statewide),"The date states re-closed hair salons barber shops statewide. If states never closed hair salons/barber shops, they will be marked as 0",second_closures,start,date,0: policy not implemented;,,
CASCLOSE2,Second Casino Closure,If a state issued orders to close casinos throughout the state for a second time. Must be an order and not a suggestion or guidance. Order must apply to the entire state excepting soverign territories.,second_closures,start,date,0: policy not implemented;,,
ENDREST2,Re-open indoor dining statewide (x2),"The date when states reopened restaurants (for indoor and/or outdoor dining) statewide for a second time. If states never re-closed restaurants, they will be marked as 0.",second_closures,end,date,0: policy not implemented;,,
END_BRS2,Re-open bars statewide (x2),"The date states reopened bars statewide for a second time. Unless otherwise noted, bars are defined as establishments that derive more than 50 percent of gross revenue from the sales of alcoholic beverages. If states never closed bars they will be marked as 0",second_closures,end,date,0: policy not implemented;,,
END_CLGYM2,Re-open gyms statewide (x2),"The date states reopened indoor gyms/fitness centers statewide for a second time. If states never re-closed gyms, they will be marked as 0.",second_closures,end,date,0: policy not implemented;,,
END_CLMV2,Re-open movie theaters statewide (x2),"The date states reopened movie theaters statewide for a second time. If states never re-closed movie theaters, they will be marked as 0.",second_closures,end,date,0: policy not implemented;,,
CASOPEN2,Second Casino Re-Opening,If a state issued orders to re-open casinos throughout the state for a second time. Must be an order and not a suggestion or guidance. Order must apply to the entire state.,second_closures,end,date,0: policy not implemented;,,
CLBAR3,Close Bars (x3),The date a state reclosed bars statewide for the third time.  Did not include guidance or recommendations. If a state never reopened bars they will be marked as 0.,third_closures,start,date,0: policy not implemented;,,
CLMV3,Close Movie Theaters (x3),The date a state reclosed movie theaters statewide for the third time.  Did not include guidance or recommendations. If a state never reopened movie theaters they will be marked as 0.,third_closures,start,date,0: policy not implemented;,,
CLGYM3,Close Gyms (x3),The date a state reclosed indoor gyms/fitness centers statewide for the third time.  Did not include guidance or recommendations. If a state never reopened indoor  gyms/fitness they will be marked as 0.,third_closures,start,date,0: policy not implemented;,,
CLRST3,Close Indoor Dining (x3),The date a state reclosed indoor dining statewide for the third time.  Did not include guidance or recommendations. If a state never reopened indoor dining they will be marked as 0.,third_closures,start,date,0: policy not implemented;,,
END_CLRST3,Reopen Indoor Dining (x3),"The date when states reopened restaurants (for indoor and/or outdoor dining) statewide for a third time. If states never closed restaurants for a third time, they will be marked as 0.",third_closures,end,date,0: policy not implemented;,,
QRSOMEST,Mandate quarantine for those entering the state from specific states,The date a state first mandated that individuals arriving in their state from a specific state(s) must undergo quarantine.  Did not include guidance or recommendations. Order must apply to entire state. Quarantine order must apply to visitors using all forms of transportation to enter the state (not just air travel),quarantines,start,date,0: policy not implemented;,,Date indicates the first state-specific quarantine order issued by governor/public health department
QR_ALLST,Mandate quarantine for all individuals entering the state from another state,The date a state first mandated that individuals arriving in their state from any state must undergo quarantine.  Did not include guidance or recommendations. Order must apply to entire state. Quarantine order must apply to visitors using all forms of transportation to enter the state (not just air travel),quarantines,start,date,0: policy not implemented;,,
QR_END,Date all mandated quarantines ended,The date a state ended all mandated quarantines for individuals arriving from out of state. If any statewide quarantines for out of state individuals is still  in effect or if the state never had a quarantine in effect  the column will bear a 0.,quarantines,end,date,0: policy not implemented;,,
VAC_PLAN,Date allocation plan last updated,The date a state last released to the public an updated version of their COVID-19 vaccine allocation plan,vaccine,start,date,0: no plan released;,,
VAC_HCW,Vaccine allocation phase: Frontline Healthcare Workers,"The phase of a state's vaccine allocation plan in which frontline health care workers may be eligible to receive a COVID-19 vaccine. Refers to those in clinical & nonclinical roles working in hospitals, nursing homes, direct mental health care settings, etc",vaccine,attribute,text,"1, 1A, 1B, 1C, 1D, 1E, 2, 2A, 2B, 3, 4",,
VAC_HCS,Vaccine allocation phase: Healthcare Service Workers,"The phase of a state's vaccine allocation plan in which healthcare service workers may be eligible to receive a COVID-19 vaccine. Refers to those who work in healthcare settings in roles including but not limited to patient transport, environmental services, mortuary workers, etc",vaccine,attribute,text,"1, 1A, 1B, 1C, 1D, 1E, 2, 2A, 2B, 3, 4",,
VAC_HHC,Vaccine allocation phase: Home Healthcare Workers,The phase of a state's vaccine allocation plan in which home healthcare workers may be eligible to receive a COVID-19 vaccine. Also includes those providing hospice care,vaccine,attribute,text,"1, 1A, 1B, 1C, 1D, 1E, 2, 2A, 2B, 3, 4",,
VAC_AHC,Vaccine allocation phase: Additional Healthcare Workers,"The phase of a state's vaccine allocation plan in which additional healthcare workers may be eligible to receive a COVID-19 vaccine. Typically refers to those working in outpatient healthcare settings in roles including but not limited to dentists, pharmacists, etc",vaccine,attribute,text,"1, 1A, 1B, 1C, 1D, 1E, 2, 2A, 2B, 3, 4",,
VAC_LTC,Vaccine allocation phase: Long-term Care Residents,The phase of a state's vaccine allocation plan in which residents of long-term care facilities may be eligible to receive a COVID-19 vaccine,vaccine,attribute,text,"1, 1A, 1B, 1C, 1D, 1E, 2, 2A, 2B, 3, 4",,
VAC_EMS,Vaccine allocation phase: EMS Providers,The phase of a state's vaccine allocation plan in which emergency medical services personnel may be eligible to receive a COVID-19 vaccine,vaccine,attribute,text,"1, 1A, 1B, 1C, 1D, 1E, 2, 2A, 2B, 3, 4",,
VAC_FF,Vaccine allocation phase: Firefighters,The phase of a state's vaccine allocation plan in which firefighters may be eligible to receive a COVID-19 vaccine,vaccine,attribute,text,"1, 1A, 1B, 1C, 1D, 1E, 2, 2A, 2B, 3, 4, ^",,Many states have not yet released COVID-19 vaccine distribution plans past the initial phase. The symbol ^ indicates that the population of interest has not been designated to any given phase as of the most recent update.
VAC_LAW,Vaccine allocation phase: Law Enforcement & Public Safety Personnel,The phase of a state's vaccine allocation plan in which law enforcement and public safety personnel may be eligible to receive a COVID-19 vaccine,vaccine,attribute,text,"1, 1A, 1B, 1C, 1D, 1E, 2, 2A, 2B, 3, 4, ^",,Many states have not yet released COVID-19 vaccine distribution plans past the initial phase. The symbol ^ indicates that the population of interest has not been designated to any given phase as of the most recent update.
VAC_CORR,Vaccine allocation phase: Correctional Staff,The phase of a state's vaccine allocation plan in which corrections officers and staff may be eligible to receive a COVID-19 vaccine,vaccine,attribute,text,"1, 1A, 1B, 1C, 1D, 1E, 2, 2A, 2B, 3, 4, ^",,Many states have not yet released COVID-19 vaccine distribution plans past the initial phase. The symbol ^ indicates that the population of interest has not been designated to any given phase as of the most recent update.
VAC_INC,Vaccine allocation phase: People who are Incarcerated,The phase of a state's vaccine allocation plan in which people who are incarcerated may be eligible to receive a COVID-19 vaccine,vaccine,attribute,text,"1, 1A, 1B, 1C, 1D, 1E, 2, 2A, 2B, 3, 4, ^",,Many states have not yet released COVID-19 vaccine distribution plans past the initial phase. The symbol ^ indicates that the population of interest has not been designated to any given phase as of the most recent update.
VAC_SHELTER,Vaccine allocation phase: Residents of Homeless Shelters,The phase of a state's vaccine allocation plan in which people who reside in homeless shelters may be eligible to receive a COVID-19 vaccine,vaccine,attribute,text,"1, 1A, 1B, 1C, 1D, 1E, 2, 2A, 2B, 3, 4, ^",,Many states have not yet released COVID-19 vaccine distribution plans past the initial phase. The symbol ^ indicates that the population of interest has not been designated to any given phase as of the most recent update.
VAC_75,Vaccine allocation phase: Adults Ages 75+,The phase of a state's vaccine allocation plan in which adults ages 75 and older may be eligible to receive a COVID-19 vaccine,vaccine,attribute,text,"1, 1A, 1B, 1C, 1D, 1E, 2, 2A, 2B, 3, 4, ^",,Many states have not yet released COVID-19 vaccine distribution plans past the initial phase. The symbol ^ indicates that the population of interest has not been designated to any given phase as of the most recent update.
VAC_65,Vaccine allocation phase: Adults Ages 65+,The phase of a state's vaccine allocation plan in which adults ages 65 and older may be eligible to receive a COVID-19 vaccine,vaccine,attribute,text,"1, 1A, 1B, 1C, 1D, 1E, 2, 2A, 2B, 3, 4, ^",,Many states have not yet released COVID-19 vaccine distribution plans past the initial phase. The symbol ^ indicates that the population of interest has not been designated to any given phase as of the most recent update.
VAC_HR,Vaccine allocation phase: Adults w/ High-Risk Medical Conditions,"The phase of a state's vaccine allocation plan in which adults diagnosed with high-risk medical conditions may be eligible to receive a COVID-19 vaccine. Specific medical conditions considered to be ""high-risk"" are determined on a state-by-state basis, usually with reference to CDC definitions, and may put an individual at increased risk for severe COVID-19-associated illness",vaccine,attribute,text,"1, 1A, 1B, 1C, 1D, 1E, 2, 2A, 2B, 3, 4, ^",,Many states have not yet released COVID-19 vaccine distribution plans past the initial phase. The symbol ^ indicates that the population of interest has not been designated to any given phase as of the most recent update.
VAC_K12,Vaccine allocation phase: Pre-K-12 School Employees,"The phase of a state's vaccine allocation plan in which child care, pre-school, and K-12 school employees may be eligible to receive a COVID-19 vaccine. Includes teachers, administrators, environmental services, maintenance workers, bus drivers, childcare workers, etc",vaccine,attribute,text,"1, 1A, 1B, 1C, 1D, 1E, 2, 2A, 2B, 3, 4, ^",,Many states have not yet released COVID-19 vaccine distribution plans past the initial phase. The symbol ^ indicates that the population of interest has not been designated to any given phase as of the most recent update.
VAC_HIGHED,Vaccine allocation phase: Higher Education Employees,"The phase of a state's vaccine allocation plan in which any employees of higher education institutions, such as colleges and universities, may be eligible to receive a COVID-19 vaccine",vaccine,attribute,text,"1, 1A, 1B, 1C, 1D, 1E, 2, 2A, 2B, 3, 4, ^",,Many states have not yet released COVID-19 vaccine distribution plans past the initial phase. The symbol ^ indicates that the population of interest has not been designated to any given phase as of the most recent update.
VAC_PT,Vaccine allocation phase: Public Transit Workers,The phase of a state's vaccine allocation plan in which public transit workers may be eligible to receive a COVID-19 vaccine,vaccine,attribute,text,"1, 1A, 1B, 1C, 1D, 1E, 2, 2A, 2B, 3, 4, ^",,Many states have not yet released COVID-19 vaccine distribution plans past the initial phase. The symbol ^ indicates that the population of interest has not been designated to any given phase as of the most recent update.
VAC_FOOD,Vaccine allocation phase: Food Supply Workers,The phase of a state's vaccine allocation plan in which food supply workers may be eligible to receive a COVID-19 vaccine. Refers to those who work in roles directly involved with food processing and/or packing,vaccine,attribute,text,"1, 1A, 1B, 1C, 1D, 1E, 2, 2A, 2B, 3, 4, ^",,Many states have not yet released COVID-19 vaccine distribution plans past the initial phase. The symbol ^ indicates that the population of interest has not been designated to any given phase as of the most recent update.
VAC_GROCERY,Vaccine allocation phase: Grocery Store Workers,The phase of a state's vaccine allocation plan in which grocery store workers may be eligible to receive a COVID-19 vaccine,vaccine,attribute,text,"1, 1A, 1B, 1C, 1D, 1E, 2, 2A, 2B, 3, 4, ^",,Many states have not yet released COVID-19 vaccine distribution plans past the initial phase. The symbol ^ indicates that the population of interest has not been designated to any given phase as of the most recent update.
VAC_ESSWORK,Vaccine allocation phase: Frontline Essential Workers,"The phase of a state's vaccine allocation plan in which frontline workers essential to maintaining critical infrastructure may be eligible to receive a COVID-19 vaccine. May include but is not limited to those who work in sectors such as postal service, utilities, transportation and logistics, etc",vaccine,attribute,text,"1, 1A, 1B, 1C, 1D, 1E, 2, 2A, 2B, 3, 4, ^",,Many states have not yet released COVID-19 vaccine distribution plans past the initial phase. The symbol ^ indicates that the population of interest has not been designated to any given phase as of the most recent update.
VAC_ADDWORK,Vaccine allocation phase: Additional Essential Workers,"The phase of a state's vaccine allocation plan in which additional essential workers in public-facing settings may be eligible to receive a COVID-19 vaccine. May refer to those who work in sectors including but not limited to hospitality, fitness/exercise, retail, etc",vaccine,attribute,text,"1, 1A, 1B, 1C, 1D, 1E, 2, 2A, 2B, 3, 4, ^",,Many states have not yet released COVID-19 vaccine distribution plans past the initial phase. The symbol ^ indicates that the population of interest has not been designated to any given phase as of the most recent update.
VAC_PUB,Vaccine allocation phase: General Public,The phase of a state's vaccine allocation plan in which the COVID-19 vaccine will be widely available to the general public,vaccine,attribute,text,"1, 1A, 1B, 1C, 1D, 1E, 2, 2A, 2B, 3, 4, ^",,Many states have not yet released COVID-19 vaccine distribution plans past the initial phase. The symbol ^ indicates that the population of interest has not been designated to any given phase as of the most recent update.
AGEPRIORITY,Prioritize older adults in earlier phase than essential workers,If a state prioritizes adults ages 75+ or adults ages 65+ in an earlier COVID-19 vaccine allocation phase than essential workers,vaccine,attribute,flag,0: policy not implemented;,,
PROOFWORK,Proof of work eligibility requirement for vaccination,If a state requires proof of occupation to be eligible for COVID-19 vaccine prioritization,vaccine,attribute,flag,0: policy not implemented;,,
PROOFAGE,Proof of age eligibility requirement for vaccination,If a state requires proof of age to be eligible for COVID-19 vaccine prioritization,vaccine,attribute,flag,0: policy not implemented;,,
PROOFRES,Proof of residency requirement for vaccination,If a state requires proof of residency to be eligible for COVID-19 vaccine prioritization,vaccine,attribute,flag,0: policy not implemented;,,
PENALTY,Penalty for failure to comply with COVID-19 vaccine distribution requirements,"If a state enforces punitive measures on providers for failing to adhere to COVID-19 vaccine distribution requirements. Penalties may include a fine to the vaccine provider or distribution facility, revocation of provider's license, and forced vaccine reallocation/halting further delivery of vaccine supply",vaccine,attribute,flag,0: policy not implemented;,,
EXPANDADMIN,Expanded scope of practice of certain health providers to administer COVID-19 vaccines,"If a state expanded the scope of practice of certain health care providers (i.e. EMTs, paramedics, nursing & medical students, etc.) to allow for COVID-19 vaccine administration",vaccine,attribute,flag,0: policy not implemented;,,
EMSTART,Overall eviction moratorium start,"The earliest date a state prohibited some aspect of the court process of eviction, ejectment, forcible entry and detainer, FED. This may include suspending notices of eviction to tenants, suspending filing of eviction claims, suspending hearings on eviction, entering judgments or issuing writs of eviction, or suspending enforcement of new order of eviction. Although different states give this legal process different names, all states allow for landlords to use the court system and law enforcement personnel to remove tenants.",housing,start,date,0: policy not implemented;,,
EMEND,Overall eviction moratorium expiration,"The latest date a state lifted an order that prohibited all aspects of the court process of eviction, ejectment, forcible entry and detainer, FED",housing,end,date,0: policy not implemented;,,
EMSTART2,Second overall eviction moratorium start,"The earliest date a state prohibited some aspect of the court process of eviction, ejectment, forcible entry and detainer, FED for the second point in time during the COVID-19 pandemic",housing,start,date,0: policy not implemented;,,
EMEND2,Second overall eviction moratorium end,"The latest date a state lifted an order that prohibited all aspects of the court process of eviction, ejectment, forcible entry and detainer, FED for the second point in time during the COVID-19 pandemic",housing,end,date,0: policy not implemented;,,
EMSTART3,Third overall eviction moratorium start,"The earliest date a state prohibited some aspect of the court process of eviction, ejectment, forcible entry and detainer, FED for the third point in time during the COVID-19 pandemic",housing,start,date,0: policy not implemented;,,
EMEND3,Third overall eviction moratorium end,"The latest date a state lifted an order that prohibited all aspects of the court process of eviction, ejectment, forcible entry and detainer, FED for the third point in time during the COVID-19 pandemic",housing,end,date,0: policy not implemented;,,
FREEZEINIT,Freeze initiation of evictions,The earliest date a state prohibited landlords from serving notices of eviction on tenants or from filing an eviction action,housing,start,date,0: policy not implemented;,,
LIFTINIT,Lift freeze of eviction initiation,The latest date a state lifted an order that prohibited landlords from serving notices of eviction on tenants or from filing an eviction action,housing,end,date,0: policy not implemented;,,
FREEZEINIT2,Second freeze of eviction initiation,The earliest date a state prohibited landlords from serving notices of eviction on tenants or from filing an eviction action for the second point in time during the COVID-19 pandemic,housing,start,date,0: policy not implemented;,,
LIFTINIT2,Lift second freeze of eviction initiation,The latest date a state lifted an order that prohibited landlords from serving notices of eviction on tenants or from filing an eviction action for the second point in time during the COVID-19 pandemic,housing,end,date,0: policy not implemented;,,
COURTCLOSE,Suspend court hearings for evictions,The earliest date a state prohibited courts from holding eviction hearings,housing,start,date,0: policy not implemented;,,
COURTOPEN,Resume court hearings for evictions,The latest date a state lifted an order that prohibited courts from holding eviction hearings,housing,end,date,0: policy not implemented;,,
COURTCLOSE2,Second suspension of court hearings for evictions,The earliest date a state prohibited courts from holding eviction hearings for the second point in time during the COVID-19 pandemic,housing,start,date,0: policy not implemented;,,
COURTOPEN2,Second resumption of court hearings for evictions,The latest date a state lifted an order that prohibited courts from holding eviction hearings for the second point in time during the COVID-19 pandemic,housing,end,date,0: policy not implemented;,,
FREEZEENF,Freeze enforcement of evictions,The earliest date a state prohibited law enforcement personnel from enforcing orders of eviction,housing,start,date,0: policy not implemented;,,
